,ts_code,name,industry
304,000837.SZ,秦川机床,机床制造
305,000838.SZ,财信发展,区域地产
306,000848.SZ,承德露露,软饮料
307,000850.SZ,华茂股份,纺织
308,000851.SZ,高鸿股份,通信设备
309,000852.SZ,石化机械,化工机械
310,000856.SZ,冀东装备,专用机械
311,000858.SZ,五粮液,白酒
312,000859.SZ,国风新材,塑料
313,000860.SZ,顺鑫农业,白酒
314,000861.SZ,海印股份,其他商业
315,000862.SZ,银星能源,新型电力
316,000863.SZ,三湘印象,区域地产
317,000868.SZ,安凯客车,汽车整车
318,000869.SZ,张裕A,红黄酒
319,000875.SZ,吉电股份,火力发电
320,000876.SZ,新希望,饲料
321,000877.SZ,天山股份,水泥
322,000878.SZ,云南铜业,铜
323,000880.SZ,潍柴重机,专用机械
324,000881.SZ,中广核技,综合类
325,000882.SZ,华联股份,其他商业
326,000883.SZ,湖北能源,火力发电
327,000885.SZ,城发环境,环境保护
328,000886.SZ,海南高速,区域地产
329,000887.SZ,中鼎股份,汽车配件
330,000888.SZ,峨眉山A,旅游景点
331,000890.SZ,法尔胜,环境保护
332,000892.SZ,欢瑞世纪,影视音像
333,000893.SZ,亚钾国际,农药化肥
334,000895.SZ,双汇发展,食品
335,000897.SZ,津滨发展,区域地产
336,000898.SZ,鞍钢股份,普钢
337,000899.SZ,赣能股份,火力发电
338,000900.SZ,现代投资,路桥
339,000901.SZ,航天科技,汽车配件
340,000902.SZ,新洋丰,农药化肥
341,000903.SZ,云内动力,汽车配件
342,000905.SZ,厦门港务,港口
343,000906.SZ,浙商中拓,仓储物流
344,000908.SZ,景峰医药,化学制药
345,000910.SZ,大亚圣象,家居用品
346,000911.SZ,广农糖业,食品
347,000912.SZ,泸天化,农药化肥
348,000913.SZ,钱江摩托,摩托车
349,000915.SZ,华特达因,化学制药
350,000917.SZ,电广传媒,影视音像
351,000919.SZ,金陵药业,化学制药
352,000920.SZ,沃顿科技,环境保护
353,000921.SZ,海信家电,家用电器
354,000922.SZ,佳电股份,电气设备
355,000923.SZ,河钢资源,普钢
356,000925.SZ,众合科技,运输设备
357,000926.SZ,福星股份,区域地产
358,000927.SZ,中国铁物,仓储物流
359,000928.SZ,中钢国际,建筑工程
360,000929.SZ,兰州黄河,啤酒
361,000930.SZ,中粮科技,农业综合
362,000931.SZ,中关村,化学制药
363,000932.SZ,华菱钢铁,普钢
364,000933.SZ,神火股份,铝
365,000935.SZ,四川双马,水泥
366,000936.SZ,华西股份,化纤
367,000937.SZ,冀中能源,煤炭开采
368,000938.SZ,紫光股份,软件服务
369,000948.SZ,南天信息,软件服务
370,000949.SZ,新乡化纤,化纤
371,000950.SZ,重药控股,医药商业
372,000951.SZ,中国重汽,汽车整车
373,000952.SZ,广济药业,化学制药
374,000953.SZ,河化股份,化学制药
375,000955.SZ,欣龙控股,纺织
376,000957.SZ,中通客车,汽车整车
377,000958.SZ,电投产融,多元金融
378,000959.SZ,首钢股份,普钢
379,000960.SZ,锡业股份,小金属
380,000961.SZ,中南建设,全国地产
381,000962.SZ,东方钽业,小金属
382,000963.SZ,华东医药,化学制药
383,000965.SZ,天保基建,区域地产
384,000966.SZ,长源电力,火力发电
385,000967.SZ,盈峰环境,环境保护
386,000968.SZ,蓝焰控股,石油开采
387,000969.SZ,安泰科技,小金属
388,000970.SZ,中科三环,矿物制品
389,000972.SZ,中基健康,食品
390,000973.SZ,佛塑科技,塑料
391,000975.SZ,银泰黄金,黄金
392,000977.SZ,浪潮信息,IT设备
393,000978.SZ,桂林旅游,旅游景点
394,000980.SZ,众泰汽车,汽车配件
395,000981.SZ,山子股份,汽车配件
396,000982.SZ,中银绒业,电气设备
397,000983.SZ,山西焦煤,煤炭开采
398,000985.SZ,大庆华科,化工原料
399,000987.SZ,越秀资本,多元金融
400,000988.SZ,华工科技,专用机械
